(0 0),(0 0),(0 0),(0 0),(7 39),(0 0),(7 31),(0 0),(13 52),(9 21),(0 0),(13 34),(2 0),(43 83),(20 35),(0 0),(21 29),(14 24),(11 18),(2 1),(12 31),(45 147),(3 6),(0 0),(7 25),(19 19),(3 21),(0 0),(6 27),(14 29),(15 36),(9 9),(12 46),(27 99),(1 5),(0 0)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(4 20),(23 95),(9 26),(3 17),(3 28),(3 24),(5 36),(10 68),(5 62),(11 43),(0 16),(1 29),(0 1),(0 15),(12 82),(0 0),(12 29),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0)
(24 5),(196 31),(9 0),(12 0),(15 0),(19 8),(15 0),(18 0),(16 0),(22 0),(17 0),(16 3),(14 0),(34 3),(18 0),(6 4),(6 1),(18 3),(11 0),(77 29),(138 107),(3 10),(26 23),(49 34),(41 23),(15 17),(13 27),(82 90),(21 20),(38 63),(0 0),(0 5),(85 48),(25 21),(15 24),(0 0)
(0 0),(0 0),(0 0),(35 22),(29 51),(20 7),(20 8),(10 12),(25 18),(19 31),(40 17),(26 25),(46 8),(20 0),(36 24),(21 27),(7 21),(60 68),(28 29),(39 8),(159 151),(0 0),(0 0),(0 0),(0 0),(0 1),(9 18),(23 39),(42 31),(20 53),(18 68),(17 21),(4 0),(47 22),(12 5),(0 0)
(21 3),(11 6),(11 0),(12 0),(22 0),(3 0),(15 0),(33 11),(20 5),(28 3),(61 13),(52 10),(31 2),(59 8),(50 13),(51 15),(26 0),(21 7),(0 0),(0 0),(63 41),(22 15),(0 0),(0 0),(0 0),(57 69),(0 0),(15 40),(18 23),(19 26),(26 66),(5 25),(4 2),(6 17),(2 1),(1 2)
(28 5),(15 10),(7 0),(0 0),(20 0),(18 2),(15 0),(44 0),(84 4),(51 0),(130 6),(45 0),(35 2),(32 4),(12 1),(17 2),(49 17),(85 28),(68 23),(17 7),(34 17),(90 23),(124 43),(45 27),(115 32),(96 49),(0 0),(46 106),(16 20),(0 0),(10 15),(0 3),(0 0),(0 0),(1 1),(8 106)
(6 5),(0 0),(0 0),(0 0),(0 0),(15 15),(19 6),(38 23),(58 31),(13 2),(49 10),(16 3),(12 3),(76 12),(3 3),(15 0),(15 1),(20 0),(120 27),(79 36),(49 36),(43 25),(28 20),(18 9),(41 12),(18 20),(18 10),(50 28),(8 18),(14 15),(14 1),(98 51),(22 22),(28 24),(28 27),(10 10)
(48 5),(43 39),(0 0),(0 0),(0 0),(0 0),(0 0),(154 89),(0 0),(0 0),(0 0),(135 112),(9 6),(0 0),(0 0),(0 0),(138 26),(54 2),(49 4),(43 0),(38 4),(37 0),(33 6),(17 3),(73 0),(58 1),(16 1),(62 23),(27 12),(69 9),(69 21),(74 76),(15 13),(34 19),(47 32),(36 17)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(60 3),(0 0),(0 0),(0 0),(0 0),(9 1),(6 3),(0 0),(58 7),(131 57),(14 2),(12 14),(0 0),(0 0),(185 286),(0 0),(11 23),(0 0),(0 0),(0 0),(20 56),(34 10),(16 8),(98 110),(0 0)
(0 0),(0 23),(0 2),(0 0),(0 26),(1 4),(6 10),(0 0),(13 7),(0 6),(1 53),(19 15),(27 41),(27 37),(18 30),(33 30),(31 36),(4 27),(16 28),(0 11),(1 116),(17 6),(22 20),(10 66),(3 3),(22 16),(19 28),(35 17),(25 15),(3 37),(0 3),(20 23),(16 12),(20 22),(28 17),(20 15)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(21 75),(13 14),(0 0),(0 33),(2 72),(21 96),(17 170),(7 31),(8 44),(57 97),(0 0),(15 1),(14 6),(36 10),(27 11),(57 13),(47 25),(20 14),(15 10),(17 19),(17 20),(14 26),(2 1),(35 18),(14 26)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(5 25),(3 19),(17 35),(37 112),(8 21),(17 8),(17 14),(32 3),(22 13),(0 0),(30 1),(39 19),(42 7),(23 11),(20 12),(15 14),(17 20),(3 12),(28 14),(51 59),(41 50),(31 25),(40 26),(47 82),(24 25),(13 35),(15 21)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(6 21),(8 9),(1 23),(11 8),(11 55),(4 6),(0 0),(0 0),(6 0),(1 1),(21 18),(29 10),(35 5),(73 9),(13 4),(15 31),(36 6),(0 21),(51 56),(20 116)
(0 0),(0 0),(0 0),(0 0),(0 0),(12 30),(0 0),(1 9),(28 59),(7 12),(3 39),(0 1),(0 0),(0 0),(25 16),(0 0),(0 0),(29 39),(15 10),(86 48),(21 11),(3 0),(24 8),(10 6),(3 11),(14 60),(7 25),(0 10),(1 34),(0 11),(0 1),(0 0),(3 0),(0 7),(0 3),(0 4)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 2),(27 13),(23 4),(15 6),(38 44),(37 23),(6 2),(2 1),(27 47),(8 27),(39 53),(7 17),(16 15),(8 6),(6 52),(20 59),(4 77),(8 54),(4 50),(3 19),(1 45),(0 11)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 1),(0 0),(0 0),(0 1),(0 2),(0 0),(0 3),(0 49),(0 0),(0 0),(0 0),(22 27),(18 14),(19 13),(10 0),(1 19),(7 4),(28 33),(2 23),(9 68),(33 34),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(7 185),(2 118),(0 99)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 2),(2 15),(0 0),(0 0),(11 15),(5 24),(6 19),(32 44),(14 22),(2 4),(16 24),(6 15),(93 205),(0 0)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(5 69),(1 45),(0 5),(4 15),(7 32),(12 40),(0 11),(1 3),(6 73),(0 69),(5 20),(0 14),(6 18),(11 104),(9 26),(0 0),(15 15),(0 0),(2 14),(0 12),(13 52),(2 2),(2 0)
(26 15),(13 7),(20 11),(17 13),(20 2),(0 31),(0 0),(0 0),(10 42),(15 97),(0 0),(8 8),(0 0),(0 1),(12 94),(0 0),(12 24),(79 16),(2 0),(12 7),(33 8),(28 6),(17 3),(16 11),(20 15),(33 11),(24 12),(49 17),(60 24),(43 23),(22 21),(14 11),(16 11),(15 24),(16 5),(15 13)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(119 18),(31 2),(55 5),(13 1),(43 2),(34 4),(0 0),(120 17),(0 0),(0 0),(0 0),(30 9),(32 1),(0 0),(0 0),(20 0),(101 12),(0 0),(0 0),(168 26),(0 0),(18 36),(20 5),(66 8)
(0 0),(0 0),(0 0),(27 36),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(1 53),(9 23),(2 13),(1 54),(0 0),(5 16),(2 15),(13 86),(13 29),(5 44),(21 65),(0 0),(20 20),(8 19),(11 29),(11 7),(0 52),(9 23),(1 14),(10 29),(18 18),(2 8),(14 24),(6 18)
(0 0),(9 11),(30 39),(15 6),(16 3),(17 11),(15 20),(13 13),(7 7),(26 22),(22 14),(22 7),(16 28),(11 13),(6 11),(8 9),(7 13),(6 8),(6 12),(10 11),(16 16),(19 23),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0)
(11 5),(13 16),(39 19),(22 8),(4 6),(0 0),(19 10),(0 0),(0 0),(0 0),(3 37),(0 4),(2 61),(0 0),(0 0),(1 4),(31 17),(31 29),(0 0),(32 43),(0 0),(0 0),(18 28),(10 14),(0 0),(0 0),(0 0),(3 49),(3 57),(0 0),(2 113),(0 0),(0 0),(0 0),(0 0),(0 0)
